timestamp,symbol,timeframe,price,action
2026-05-12 18:52:59,BTC/USDT,5m,80540.6,1
2026-05-12 18:53:00,ETH/USDT,5m,2283.61,1
2026-05-12 18:53:00,SOL/USDT,5m,94.56,2
2026-05-12 18:53:00,ADA/USDT,5m,0.2718,1
2026-05-12 18:54:01,BTC/USDT,5m,80532.82,1
2026-05-12 18:54:01,ETH/USDT,5m,2283.43,1
2026-05-12 18:54:02,SOL/USDT,5m,94.55,2
2026-05-12 18:54:02,ADA/USDT,5m,0.2716,1
2026-05-12 18:55:03,BTC/USDT,5m,80546.31,1
2026-05-12 18:55:03,ETH/USDT,5m,2284.09,1
2026-05-12 18:55:03,SOL/USDT,5m,94.6,0
2026-05-12 18:55:04,ADA/USDT,5m,0.2717,1
2026-05-12 18:56:05,BTC/USDT,5m,80547.23,1
2026-05-12 18:56:05,ETH/USDT,5m,2284.03,1
2026-05-12 18:56:06,SOL/USDT,5m,94.62,0
2026-05-12 18:56:06,ADA/USDT,5m,0.2717,1
2026-05-12 18:57:06,BTC/USDT,5m,80571.43,1
2026-05-12 18:57:07,ETH/USDT,5m,2284.95,1
2026-05-12 18:57:07,SOL/USDT,5m,94.67,0
2026-05-12 18:57:08,ADA/USDT,5m,0.2719,1
2026-05-12 18:58:08,BTC/USDT,5m,80569.2,1
2026-05-12 18:58:09,ETH/USDT,5m,2285.18,1
2026-05-12 18:58:09,SOL/USDT,5m,94.69,0
2026-05-12 18:58:09,ADA/USDT,5m,0.2721,1
2026-05-12 18:59:10,BTC/USDT,5m,80589.89,1
2026-05-12 18:59:10,ETH/USDT,5m,2285.4,1
2026-05-12 18:59:11,SOL/USDT,5m,94.71,0
2026-05-12 18:59:11,ADA/USDT,5m,0.2719,1
2026-05-12 19:00:12,BTC/USDT,5m,80625.99,1
2026-05-12 19:00:12,ETH/USDT,5m,2286.56,1
2026-05-12 19:00:13,SOL/USDT,5m,94.73,0
2026-05-12 19:00:13,ADA/USDT,5m,0.2719,2
2026-05-12 19:01:14,BTC/USDT,5m,80695.99,1
2026-05-12 19:01:14,ETH/USDT,5m,2288.12,1
2026-05-12 19:01:15,SOL/USDT,5m,94.83,0
2026-05-12 19:01:15,ADA/USDT,5m,0.2723,2
2026-05-12 19:02:16,BTC/USDT,5m,80735.04,1
2026-05-12 19:02:16,ETH/USDT,5m,2289.25,1
2026-05-12 19:02:17,SOL/USDT,5m,94.88,0
2026-05-12 19:02:18,ADA/USDT,5m,0.2725,2
